epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13151.9,1.3727,1.00004,1.45146,0.81816,0.71184,0.75661,0.44298,1.39812,0.75701,1.63863,0.005842,0.005842,0.005842
44,13457.2,1.36511,1.0083,1.44666,0.82351,0.70147,0.74263,0.43709,1.38985,0.75877,1.62653,0.005743,0.005743,0.005743
45,13762.1,1.36325,0.99103,1.43837,0.79074,0.71343,0.75168,0.44605,1.38105,0.73576,1.61136,0.005644,0.005644,0.005644
46,14067.3,1.34742,0.98431,1.43548,0.81932,0.70511,0.74414,0.44148,1.38045,0.74129,1.62021,0.005545,0.005545,0.005545
47,14372.4,1.34151,0.96771,1.4239,0.82538,0.7009,0.74782,0.44764,1.37435,0.7424,1.60865,0.005446,0.005446,0.005446
48,14677.6,1.33125,0.96018,1.41905,0.81461,0.7086,0.7532,0.45051,1.37083,0.7267,1.60525,0.005347,0.005347,0.005347
49,14982.9,1.32854,0.96451,1.41949,0.81222,0.71074,0.75337,0.45127,1.36348,0.72322,1.60057,0.005248,0.005248,0.005248
50,15288.3,1.31827,0.9386,1.40591,0.8088,0.72189,0.76069,0.45506,1.36973,0.71232,1.61272,0.005149,0.005149,0.005149
51,15593.8,1.31678,0.93217,1.39639,0.81896,0.71557,0.75144,0.45166,1.36314,0.71234,1.60328,0.00505,0.00505,0.00505
52,15899.2,1.30612,0.92144,1.40864,0.81229,0.72546,0.75727,0.45197,1.36343,0.70754,1.61041,0.004951,0.004951,0.004951
53,16204.3,1.3,0.91903,1.39571,0.80894,0.71892,0.7536,0.45743,1.35627,0.70203,1.59558,0.004852,0.004852,0.004852
54,16509.7,1.29765,0.91235,1.3888,0.82067,0.72213,0.76362,0.46406,1.35518,0.68484,1.59836,0.004753,0.004753,0.004753
55,16815.1,1.28447,0.90271,1.37837,0.79265,0.73758,0.76048,0.46294,1.35318,0.68866,1.59647,0.004654,0.004654,0.004654
56,17120.1,1.29115,0.89336,1.37519,0.82234,0.72608,0.76102,0.46621,1.3379,0.68355,1.58292,0.004555,0.004555,0.004555
57,17425.2,1.26853,0.88471,1.37213,0.84129,0.72156,0.75953,0.46763,1.33459,0.67719,1.57772,0.004456,0.004456,0.004456
